PROPERTY_ID,ADDRESS,PROPERTY_TYPE,LOT_SIZE,LATITUDE,LONGITUDE,TOTAL_VALUE,LAND_VALUE,BUILDING_VALUE,GROSS_AREA,YEAR_BUILT,BUILDING_AGE,NEIGHBORHOOD,USE_CODE,TAX_STATUS,CONDO_FLAG,SIZE_CATEGORY,DISTANCE_TO_RED_LINE,TRANSIT_ACCESSIBILITY,GENERAL_USE_CATEGORY,NEIGHBORHOOD_DENSITY
119-90,910 Massachusetts Ave,RETAIL-CONDO,5326.0,42.368161153706794,-71.10869408205932,,,,,,,7.0,327,,False,Small,720.7697854733008,0.28367694556133227,Commercial,51
160-74,1328 Massachusetts Ave,MXD 4-8-UNIT-APT,2029.0,42.372831336231094,-71.11792903332692,,,,,,,7.0,111,,False,Small,146.32703585087336,0.8545757169901003,Multi-Family,51
119-9,860 Massachusetts Ave,MXD >8-UNIT-APT,35914.0,42.36721495976062,-71.10729070838707,,,,,,,7.0,112,,True,Large,533.0186910888759,0.4702697247180491,Multi-Family,51
91-195,453 Massachusetts Ave,PARKING-LOT,27800.0,42.36417368769274,-71.10020018952315,,,,,,,4.0,337,City NonTax,False,Large,338.0650292214034,0.6640206356988815,Other,23
93-81,492 Massachusetts Ave,MXD >8-UNIT-APT,4147.0,42.36384642419921,-71.10175216270125,,,,,,,5.0,112,,False,Small,186.56007761055508,0.8145908897352663,Multi-Family,25
117-1,907 Massachusetts Ave,GEN-OFFICE,5111.0,42.368520037213514,-71.10836974853724,,,,,,,6.0,340,,False,Small,713.5062753444885,0.29089564405047663,Commercial,34
178-1,2000 Massachusetts Ave,RETAIL-OFFIC,8969.0,42.3902317621417,-71.12143773797571,,,,,,,11.0,345,,False,Medium,338.46663022718354,0.6636215123381025,Commercial,28
160-25,1304 Massachusetts Ave,MXD >8-UNIT-APT,9116.0,42.37275485715416,-71.11748127397219,,,,,,,7.0,112,,False,Medium,192.92282752712194,0.8082673942909175,Multi-Family,51
90-170,641 Massachusetts Ave,RETAIL-OFFIC,19577.0,42.36580054274533,-71.10304273526933,,,,,,,4.0,345,,False,Large,123.40117817076354,0.8773601354410743,Commercial,23
91-118,515 Massachusetts Ave,BANK,9189.0,42.36451905731942,-71.10161468281288,,,,,,,4.0,341,,False,Medium,177.1126948811691,0.8239799875991854,Other,23
172-104,1570 Massachusetts Ave,SNGL-FAM-RES,1998.0,42.37875524733567,-71.12056614535956,,,,,,,9.0,101,,False,Small,598.0560756129768,0.4056335830900899,Residential,42
157-26,1607 Massachusetts Ave,RETAIL-STORE,8377.0,42.38016106778192,-71.11950270371347,,,,,,,8.0,325,,False,Medium,730.4130754160042,0.274093149117841,Commercial,24
107-9,731 Massachusetts Ave,RETAIL-STORE,9926.0,42.36653803261582,-71.10504044290862,,,,,,,6.0,325,,False,Medium,288.7193856209882,0.7130618453326623,Commercial,34
90-155,561 Massachusetts Ave,RETAIL-STORE,14381.0,42.36479084044227,-71.1020278056514,,,,,,,4.0,325,,False,Large,130.50369541973265,0.870301436599191,Commercial,23
93-74,544 Massachusetts Ave,RETAIL-OFFIC,4391.0,42.36428917299413,-71.10243122928382,,,,,,,5.0,345,,False,Small,96.75401086580342,0.9038429051974298,Commercial,25
178-91,1876 Massachusetts Ave,RETAIL-OFFIC,4228.0,42.38827695526066,-71.11973568147155,,,,,,,9.0,345,,False,Small,82.79493165756745,0.9177158649928087,Commercial,42
90-133,583 Massachusetts Ave,RETAIL-OFFIC,18218.0,42.36531370446843,-71.10234335372694,,,,,,,4.0,345,,False,Large,116.9708294423934,0.883750812651811,Commercial,23
158-28,1555 Massachusetts Ave,Religious,11248.0,42.37790650646593,-71.11973449320625,,,,,,,8.0,960,Religious NonTax,False,Medium,484.9249189713065,0.5180667861890875,Other,24
172-12,1572 Massachusetts Ave,>8-UNIT-APT,12860.0,42.378912971729314,-71.12076459880713,,,,,,,9.0,112,,True,Medium,621.4164021421292,0.3824173762105814,Multi-Family,42
154-89,1741 Massachusetts Ave,RETAIL-STORE,3600.0,42.38458162513277,-71.11910431988984,,,,,,,8.0,325,,False,Small,423.99775969656804,0.5786180602707182,Commercial,24
155-39,1713-5 Massachusetts Ave,4-8-UNIT-APT,14500.0,42.383549695796106,-71.1189891256042,,,,,,,8.0,111,Authority NonTax,False,Large,538.3851197439304,0.46493640381158025,Multi-Family,24
134-32,1039 Massachusetts Ave,>8-UNIT-APT,11133.0,42.3701299428566,-71.11236779340796,,,,,,,6.0,112,,False,Medium,830.8515783411179,0.17427429343242928,Multi-Family,34
174-63,1686 Massachusetts Ave,RES-UDV-LAND,262.0,42.3826387741726,-71.12020746679302,,,,,,,9.0,132,,False,Small,653.3903446596706,0.3506406943515163,Other,42
152-55,1853-1875 Massachusetts Ave,MBTA/Railroad,15268.0,42.38826340754585,-71.11908141886602,,,,,,,11.0,975,State NonTax,False,Large,17.65093027294471,0.9824579657171714,Other,28
172-36,1573 Massachusetts Ave,Parklands,13180.0,42.3781002430506,-71.12039912330384,,,,,,,9.0,920,City NonTax,False,Large,523.1119639907728,0.4801153330626659,Other,42
91-208,493-507 Massachusetts Ave,RETAIL-OFFIC,21698.0,42.36447972767728,-71.101177197394,,,,,,,4.0,345,,False,Large,225.85841513626056,0.7755350001320556,Commercial,23
173-48,1654 Massachusetts Ave,MXD >8-UNIT-APT,17024.0,42.38162673874411,-71.12005796305276,,,,,,,9.0,112,,False,Large,760.9481427321991,0.2437464654356664,Multi-Family,42
154-111,1759 Massachusetts Ave,RETAIL-CONDO,4664.0,42.385217792038894,-71.11904772338836,,,,,,,8.0,327,,False,Small,353.2648030706425,0.6489146356279791,Commercial,24
107-135,689 Massachusetts Ave,RETAIL-OFFIC,9788.0,42.36606380066659,-71.1042783698665,,,,,,,6.0,345,Religious NonTax,False,Medium,192.98791564397902,0.8082027077299457,Commercial,34
70-98,355 Massachusetts Ave,Private College,12159.0,42.36307257838648,-71.09916932569774,,,,,,,4.0,942,Educ NonTax,False,Medium,482.496922026708,0.5204798038024444,Educational,23
