PROPERTY_ID,ADDRESS,CORRIDOR_SEGMENT,TOTAL_VALUE,PRICE_PER_SQFT,RED_LINE_DISTANCE,NEAREST_STATION,ON_MASS_AVE,ON_MAIN_ST
8507,875 Massachusetts Ave,Mass Ave - Central,45000.0,269.4610778443114,563.5146340341158,Central Square,True,False
8508,875 Massachusetts Ave,Mass Ave - Central,45000.0,312.5,563.5146340341158,Central Square,True,False
8509,875 Massachusetts Ave,Mass Ave - Central,45000.0,312.5,563.5146340341158,Central Square,True,False
8510,875 Massachusetts Ave,Mass Ave - Central,45000.0,312.5,563.5146340341158,Central Square,True,False
8562,859 Massachusetts Ave,Mass Ave - Central,2109400.0,410.708722741433,513.2802634801122,Central Square,True,False
8563,863 Massachusetts Ave,Mass Ave - Central,,,535.2571389381642,Central Square,True,False
8564,863 Massachusetts Ave,Mass Ave - Central,231300.0,826.0714285714286,535.2571389381642,Central Square,True,False
8565,863 Massachusetts Ave,Mass Ave - Central,254600.0,760.0,535.2571389381642,Central Square,True,False
8566,863 Massachusetts Ave,Mass Ave - Central,254900.0,653.5897435897435,535.2571389381642,Central Square,True,False
8567,863 Massachusetts Ave,Mass Ave - Central,263900.0,668.1012658227849,535.2571389381642,Central Square,True,False
8568,863 Massachusetts Ave,Mass Ave - Central,302800.0,877.6811594202899,535.2571389381642,Central Square,True,False
8569,863 Massachusetts Ave,Mass Ave - Central,231300.0,826.0714285714286,535.2571389381642,Central Square,True,False
8570,863 Massachusetts Ave,Mass Ave - Central,439200.0,813.3333333333334,535.2571389381642,Central Square,True,False
8571,863 Massachusetts Ave,Mass Ave - Central,396200.0,880.4444444444445,535.2571389381642,Central Square,True,False
8572,863 Massachusetts Ave,Mass Ave - Central,504400.0,951.6981132075472,535.2571389381642,Central Square,True,False
8573,863 Massachusetts Ave,Mass Ave - Central,443400.0,806.1818181818181,535.2571389381642,Central Square,True,False
8574,863 Massachusetts Ave,Mass Ave - Central,396200.0,880.4444444444445,535.2571389381642,Central Square,True,False
8575,863 Massachusetts Ave,Mass Ave - Central,439200.0,813.3333333333334,535.2571389381642,Central Square,True,False
8576,863 Massachusetts Ave,Mass Ave - Central,439200.0,813.3333333333334,535.2571389381642,Central Square,True,False
8577,863 Massachusetts Ave,Mass Ave - Central,396200.0,880.4444444444445,535.2571389381642,Central Square,True,False
8578,863 Massachusetts Ave,Mass Ave - Central,434800.0,820.377358490566,535.2571389381642,Central Square,True,False
8579,863 Massachusetts Ave,Mass Ave - Central,443400.0,806.1818181818181,535.2571389381642,Central Square,True,False
8580,863 Massachusetts Ave,Mass Ave - Central,396200.0,880.4444444444445,535.2571389381642,Central Square,True,False
8581,863 Massachusetts Ave,Mass Ave - Central,439200.0,813.3333333333334,535.2571389381642,Central Square,True,False
8582,863 Massachusetts Ave,Mass Ave - Central,439200.0,813.3333333333334,535.2571389381642,Central Square,True,False
8583,863 Massachusetts Ave,Mass Ave - Central,364500.0,810.0,535.2571389381642,Central Square,True,False
8584,863 Massachusetts Ave,Mass Ave - Central,434800.0,820.377358490566,535.2571389381642,Central Square,True,False
8585,863 Massachusetts Ave,Mass Ave - Central,443400.0,806.1818181818181,535.2571389381642,Central Square,True,False
8586,863 Massachusetts Ave,Mass Ave - Central,161000.0,357.77777777777777,535.2571389381642,Central Square,True,False
8587,863 Massachusetts Ave,Mass Ave - Central,431100.0,798.3333333333334,535.2571389381642,Central Square,True,False
8588,863 Massachusetts Ave,Mass Ave - Central,461200.0,854.074074074074,535.2571389381642,Central Square,True,False
8589,863 Massachusetts Ave,Mass Ave - Central,161000.0,357.77777777777777,535.2571389381642,Central Square,True,False
8590,863 Massachusetts Ave,Mass Ave - Central,456600.0,861.5094339622641,535.2571389381642,Central Square,True,False
8591,863 Massachusetts Ave,Mass Ave - Central,536600.0,975.6363636363636,535.2571389381642,Central Square,True,False
8592,863 Massachusetts Ave,Mass Ave - Central,479400.0,1065.3333333333333,535.2571389381642,Central Square,True,False
8593,863 Massachusetts Ave,Mass Ave - Central,461200.0,854.074074074074,535.2571389381642,Central Square,True,False
8598,881 Massachusetts Ave,Mass Ave - Central,24617500.0,412.0359521976367,614.7846529595218,Central Square,True,False
8682,847 Massachusetts Ave,Mass Ave - Central,1941500.0,429.1556145004421,483.7289537675917,Central Square,True,False
8788,825 Massachusetts Ave,Mass Ave - Central,8592700.0,405.3160377358491,437.47211567436767,Central Square,True,False
8789,843 Massachusetts Ave,Mass Ave - Central,2262200.0,528.0578898225957,464.868298083375,Central Square,True,False
8790,815 Massachusetts Ave,Mass Ave - Central,50330700.0,1004.6047904191616,362.9839732887604,Central Square,True,False
8971,900 Massachusetts Ave,Mass Ave - Central,3617800.0,510.1240834743373,694.1652568660667,Central Square,True,False
191239,820 Massachusetts Ave,Mass Ave - Central,,,438.33033612660427,Central Square,True,False
8924,820 Massachusetts Ave,Mass Ave - Central,4438700.0,144.03881100726895,438.33033612660427,Central Square,True,False
8925,820 Massachusetts Ave,Mass Ave - Central,605500.0,436.8686868686869,438.33033612660427,Central Square,True,False
8923,820 Massachusetts Ave,Mass Ave - Central,37818100.0,458.4512249821192,438.33033612660427,Central Square,True,False
8926,798 Massachusetts Ave,Mass Ave - Central,10567800.0,383.558362369338,405.73133040024294,Central Square,True,False
8911,898 Massachusetts Ave,Mass Ave - Central,3511100.0,447.9586629242154,676.1140188385345,Central Square,True,False
8912,892 Massachusetts Ave,Mass Ave - Central,640500.0,,656.7308729149684,Central Square,True,False
8913,878 Massachusetts Ave,Mass Ave - Central,1938200.0,1313.1436314363143,609.9866038461851,Central Square,True,False
8913,878 Massachusetts Ave,Mass Ave - Central,1938200.0,600.0619195046439,609.9866038461851,Central Square,True,False
8914,872 Massachusetts Ave,Mass Ave - Central,40121500.0,371.1379782431732,586.3563463312104,Central Square,True,False
8952,888 Massachusetts Ave,Mass Ave - Central,20546500.0,471.9102413927743,633.1600238905531,Central Square,True,False
8915,860 Massachusetts Ave,Mass Ave - Central,,,537.3901190915492,Central Square,True,False
184245,860 Massachusetts Ave,Mass Ave - Central,636200.0,687.7837837837837,537.3901190915492,Central Square,True,False
