PROPERTY_ID,ADDRESS,PROPERTY_TYPE,LOT_SIZE,LATITUDE,LONGITUDE,TOTAL_VALUE,LAND_VALUE,BUILDING_VALUE,GROSS_AREA,YEAR_BUILT,BUILDING_AGE,NEIGHBORHOOD,USE_CODE,TAX_STATUS,CONDO_FLAG,CORRIDOR_SEGMENT
112-85,20 Marie Ave,THREE-FM-RES,3200.0,42.37360179142367,-71.10476617543709,,,,,,,6.0,105,,False,Harvard Square Area
125-26,17 Kinnaird St,TWO-FAM-RES,2799.0,42.36459114176695,-71.10910763256967,,,,,,,7.0,104,,False,Central Square Area
146A-111,6 Holden St,TWO-FAM-RES,5429.0,42.378219091094195,-71.10795244396765,,,,,,,8.0,104,,False,Porter Square Area
114A-103,52 Fayette St,THREE-FM-RES,4084.0,42.372923323454295,-71.10252053402347,,,,,,,6.0,105,,False,Harvard Square Area
136-39,391 Harvard St,Private College,16990.0,42.37228840332511,-71.1138068779816,,,,,,,6.0,942,Educ NonTax,False,Harvard Square Area
200-88,13 Creighton St,TWO-FAM-RES,5002.0,42.39065496434653,-71.12281344239105,,,,,,,11.0,104,,False,Porter Square Area
105-10,35 Cottage St,SNGL-FAM-RES,2779.0,42.363474759116386,-71.1069962881205,,,,,,,5.0,101,,False,Central Square Area
149-133,58B Hammond St,SNGL-FAM-RES,1188.0,42.38079383222518,-71.1139853035592,,,,,,,8.0,101,,False,Porter Square Area
123-9,27 Kinnaird St,4-8-UNIT-APT,8409.0,42.365336150269435,-71.10930993768935,,,,,,,7.0,111,,True,Central Square Area
79-28,296 Columbia St,THREE-FM-RES,3807.0,42.37028982244585,-71.0956920211545,,,,,,,3.0,105,,True,Harvard Square Area
175-14,36 Gray St,SNGL-FAM-RES,4785.0,42.38361247810857,-71.12227688350325,,,,,,,9.0,101,,False,Porter Square Area
127-135,33 Andrew St,THREE-FM-RES,2788.0,42.36139128218252,-71.11235135260165,,,,,,,5.0,105,,False,Central Square Area
109-51,323 Broadway,GEN-OFFICE,7502.0,42.36971650558339,-71.10132491929622,,,,,,,6.0,340,,False,Harvard Square Area
114A-104,54 Fayette St,THREE-FM-RES,4029.0,42.373024816917614,-71.10248137569135,,,,,,,6.0,105,,False,Harvard Square Area
75-71,296 Washington St,TWO-FAM-RES,4490.0,42.36504313993753,-71.09783728371809,,,,,,,4.0,104,,False,Central Square Area
176-72,11 Linnaean St,SNGL-FAM-RES,7946.0,42.3847782719764,-71.12087859679428,,,,,,,9.0,101,,False,Porter Square Area
101-108,61 Prince St,THREE-FM-RES,5180.0,42.361175605875566,-71.11090896230738,,,,,,,5.0,105,,True,Central Square Area
108-58,6 West St,4-8-UNIT-APT,3417.0,42.369418384371365,-71.10377356289428,,,,,,,6.0,111,,False,Harvard Square Area
175-66,28 Hurlbut St,4-8-UNIT-APT,5707.0,42.38424103258275,-71.12068462651679,,,,,,,9.0,111,,True,Porter Square Area
118-58,29 Inman St,TWO-FAM-RES,2533.0,42.368179684721255,-71.10450729111902,,,,,,,6.0,104,,False,Harvard Square Area
127-129,36 Fairmont St,THREE-FM-RES,2280.0,42.361682137798674,-71.11113007681946,,,,,,,5.0,105,,True,Central Square Area
70-10,838 Main St,COM-DEV-LAND,4920.0,42.36312185304987,-71.09805618195357,,,,,,,4.0,390,,False,Central Square Area
167-28,18 Ash St,SNGL-FAM-RES,9984.0,42.37464932299076,-71.12481373708901,,,,,,,10.0,101,,False,Harvard Square Area
104-96,15 Pleasant Pl,SNGL-FAM-RES,2153.0,42.363093279904994,-71.10749738576942,,,,,,,5.0,101,,False,Central Square Area
84-22,1200 Cambridge St,MXD TWO-FAM-RES,1718.0,42.37312905562926,-71.0973706353399,,,,,,,3.0,104,,False,Harvard Square Area
130-16,12 Hingham St,4-8-UNIT-APT,6141.0,42.36497320960499,-71.11443441860382,,,,,,,7.0,111,Authority NonTax,False,Central Square Area
154-78,65 Frost St,SNGL-FAM-RES,4482.0,42.38449971494257,-71.117827006984,,,,,,,8.0,101,,False,Porter Square Area
110-2,92 Inman St,4-8-UNIT-APT,4360.0,42.371559036426575,-71.10158819532462,,,,,,,6.0,111,,False,Harvard Square Area
90-141,30 Essex St,SNGL-FAM-RES,2300.0,42.36647091882938,-71.1015742665026,,,,,,,4.0,101,,False,Central Square Area
101-196,6 Stinson Ct,THREE-FM-RES,2656.0,42.36023490832415,-71.1117525209282,,,,,,,5.0,105,,True,Central Square Area
86-39,88 Elm St,4-8-UNIT-APT,3505.0,42.369190444480054,-71.09749760251626,,,,,,,4.0,111,,False,Harvard Square Area
108-34,328 Broadway,MULTIUSE-COM,8483.0,42.369334077155834,-71.10190151643415,,,,,,,6.0,31,,True,Harvard Square Area
77-13,41 Market St,SNGL-FAM-RES,1305.0,42.36858792701718,-71.09615720245704,,,,,,,4.0,101,,False,Harvard Square Area
154-126,19 Prentiss St,SNGL-FAM-RES,3078.0,42.384530565254735,-71.11802053848427,,,,,,,8.0,101,,False,Porter Square Area
101-87,30 Fairmont St,THREE-FM-RES,5237.0,42.36145398818921,-71.1108117206728,,,,,,,5.0,105,,False,Central Square Area
114A-77,103 Inman St,THREE-FM-RES,3404.0,42.372179708076025,-71.10166955423976,,,,,,,6.0,105,,False,Harvard Square Area
77-5,15 Union St,SNGL-FAM-RES,2715.0,42.36925622020271,-71.09576834253416,,,,,,,4.0,101,,False,Harvard Square Area
92-120,34-40 Brookline St,RES-UDV-PARK (OS) LN,6092.0,42.362901581247016,-71.1021364691934,,,,,,,5.0,1322,,False,Central Square Area
133-3,9 Bow St,Private College,40790.0,42.371659128892524,-71.11601191232273,,,,,,,7.0,942,Educ NonTax,False,Harvard Square Area
130-49,224 Banks St,TWO-FAM-RES,2877.0,42.36556129893502,-71.11465711959463,,,,,,,7.0,104,,False,Central Square Area
90-177,51 Norfolk St,4-8-UNIT-APT,3921.0,42.36547663406484,-71.10128098536524,,,,,,,4.0,111,,False,Central Square Area
105-56,18 Pleasant St,4-8-UNIT-APT,4260.0,42.36535650548943,-71.10628741570488,,,,,,,7.0,111,,False,Central Square Area
122-9,19-21 Hews St,4-8-UNIT-APT,4250.0,42.36510897431121,-71.11317322995411,,,,,,,7.0,111,,True,Central Square Area
125-13,177-181 River St,THREE-FM-RES,5065.0,42.36362482754345,-71.11021664038,,,,,,,7.0,105,,False,Central Square Area
85-3,76-80 Tremont St,THREE-FM-RES,4708.0,42.372622744064046,-71.09716541023354,,,,,,,3.0,105,,True,Harvard Square Area
126-128,280-286 Western Ave,4-8-UNIT-APT,3276.0,42.36441750057469,-71.11243261271144,,,,,,,7.0,111,,False,Central Square Area
105-115,47 Cottage St,THREE-FM-RES,2993.0,42.3638978304548,-71.10767270790998,,,,,,,5.0,105,,True,Central Square Area
75-102,23 Pine St,THREE-FM-RES,2310.0,42.36445125097906,-71.09845036943135,,,,,,,4.0,105,,False,Central Square Area
175-84,1712 Massachusetts Ave,EATING-ESTBL,6750.0,42.383546697911996,-71.11984855510966,,,,,,,9.0,326,,False,Porter Square Area
179-77,9 Orchard St,SNGL-FAM-RES,4485.0,42.390408842392425,-71.11896902743132,,,,,,,11.0,101,,False,Porter Square Area
84-66,323-329 Prospect St,PARKING-LOT,2117.0,42.37319947253429,-71.09851991436362,,,,,,,3.0,337,,False,Harvard Square Area
154-121,61 Frost St,SNGL-FAM-RES,3175.0,42.38466439813002,-71.11808305178728,,,,,,,8.0,101,,False,Porter Square Area
177-66,63 Mt Vernon St,4-8-UNIT-APT,6327.0,42.38762322295769,-71.12120746880179,,,,,,,9.0,111,,True,Porter Square Area
153-28,21 Forest St,>8-UNIT-APT,10466.0,42.38545963897926,-71.11633727488795,,,,,,,8.0,112,,False,Porter Square Area
118-64,15 Inman St,4-8-UNIT-APT,7064.0,42.36748446380279,-71.10493825051861,,,,,,,6.0,111,Authority NonTax,False,Harvard Square Area
87-151,238 Prospect St,THREE-FM-RES,2385.0,42.37110321124568,-71.09942529910225,,,,,,,4.0,105,,False,Harvard Square Area
140-146,1 Nichols Pl,SNGL-FAM-RES,1398.0,42.37634642924642,-71.10904976382224,,,,,,,6.0,101,,False,Porter Square Area
85-87,340R Norfolk St,SNGL-FAM-RES,1497.0,42.372499016538505,-71.09629215622375,,,,,,,3.0,101,,False,Harvard Square Area
200-100,61 Regent St,MBTA/Railroad,114238.0,42.38886400812589,-71.12186200139088,,,,,,,9.0,975,State NonTax,False,Porter Square Area
93-28,11 Watson St,4-8-UNIT-APT,5925.0,42.36219458305173,-71.10391812665344,,,,,,,5.0,111,,False,Central Square Area
70-91,323 Massachusetts Ave,RETAIL-STORE,6272.0,42.36259234626355,-71.0986073233111,,,,,,,4.0,325,,False,Central Square Area
214-5,50 Shepard St,SNGL-FAM-RES,4649.0,42.38041379657415,-71.12376988555586,,,,,,,9.0,101,,False,Porter Square Area
114-7,18 Fayette St,TWO-FAM-RES,7929.0,42.37188434443401,-71.10332871687879,,,,,,,6.0,104,,True,Harvard Square Area
155-7,54 Garfield St,4-8-UNIT-APT,7150.0,42.383502262573366,-71.11741202688205,,,,,,,8.0,111,,False,Porter Square Area
127-119,353 Allston St,RES-&-DEV-FC,9788.0,42.3616350217391,-71.11302566741918,,,,,,,5.0,404,,False,Central Square Area
165-60,3 University Rd,PARKING-LOT,19163.0,42.372395875249126,-71.12433747490863,,,,,,,10.0,337,,False,Harvard Square Area
139-61,19 Ellsworth Ave,TWO-FAM-RES,6452.0,42.37364823224856,-71.10699143152,,,,,,,6.0,104,,True,Harvard Square Area
214-56,56 Shepard St,SNGL-FAM-RES,3900.0,42.3803483705897,-71.12414742842441,,,,,,,9.0,101,,False,Porter Square Area
127-44,52-54 Fairmont St,TWO-FAM-RES,3000.0,42.36217723737576,-71.11182309119408,,,,,,,5.0,104,,False,Central Square Area
104-53,22 Upton St,SNGL-FAM-RES,1650.0,42.36277459234874,-71.10875539141787,,,,,,,5.0,101,,False,Central Square Area
125-102,170 River St,Government Operations,4973.0,42.363227074509524,-71.11000708219203,,,,,,,5.0,930,City NonTax,False,Central Square Area
70-51,233 Massachusetts Ave,Higher Ed and Comm Mixed,7360.0,42.36177101104604,-71.09720349156746,,,,,,,4.0,942,,False,Central Square Area
121-88,648 Green St,TWO-FAM-RES,2945.0,42.368859307226195,-71.11272533401201,,,,,,,7.0,104,,False,Harvard Square Area
201-20,11 Buena Vista Pk,TWO-FAM-RES,4227.0,42.38762727842719,-71.1244752823649,,,,,,,9.0,104,,True,Porter Square Area
181-47,42 Orchard St,4-8-UNIT-APT,13315.0,42.39132359101349,-71.12088117101851,,,,,,,11.0,111,,False,Porter Square Area
146A-117,43 Holden St,TWO-FAM-RES,6691.0,42.37911797226625,-71.10921348413363,,,,,,,8.0,104,,False,Porter Square Area
76-105,4 Boardman Pl,TWO-FAM-RES,3842.0,42.366811614460694,-71.09622851469855,,,,,,,4.0,104,,True,Central Square Area
147-46,42 Francis Ave,Private College,50019.0,42.38039138068702,-71.11215550212492,,,,,,,8.0,942,Educ NonTax,False,Porter Square Area
127-94,16-18 Laurel St,THREE-FM-RES,6691.0,42.362865076766596,-71.11100229294577,,,,,,,5.0,105,,True,Central Square Area
127-131,39 Fairmont St,TWO-FAM-RES,2128.0,42.36206073162608,-71.11107467037657,,,,,,,5.0,104,,False,Central Square Area
115-83,9 Goodman Rd,TWO-FAM-RES,3215.0,42.37168502490844,-71.10836056077343,,,,,,,6.0,104,,False,Harvard Square Area
112-33,81 Highland Ave,TWO-FAM-RES,4709.0,42.37403118320194,-71.1050590295328,,,,,,,6.0,104,,False,Harvard Square Area
172-59,1 Follen St,Private College,22956.0,42.37853301468344,-71.12335342220833,,,,,,,9.0,942,Educ NonTax,False,Porter Square Area
181-52,2039 Massachusetts Ave,Government Operations,9532.0,42.3909894646649,-71.12195064577321,,,,,,,11.0,930,City NonTax,False,Porter Square Area
113-64,16 Maple Ave,TWO-FAM-RES,7368.0,42.37204326531084,-71.10463148987161,,,,,,,6.0,104,,True,Harvard Square Area
101-85,104 Pleasant St,THREE-FM-RES,1811.0,42.36146190775237,-71.11100317607584,,,,,,,5.0,105,,True,Central Square Area
155-38,16 Garfield St,THREE-FM-RES,4200.0,42.38362178237826,-71.11880561410594,,,,,,,8.0,105,,True,Porter Square Area
80-17,222 Elm St,4-8-UNIT-APT,5099.0,42.37199776510732,-71.0956302723438,,,,,,,3.0,111,,False,Harvard Square Area
178-108,5 Porter Pk,TWO-FAM-RES,2356.0,42.38932664934397,-71.1207687143425,,,,,,,11.0,104,,False,Porter Square Area
112-103,25 Maple Ave,TWO-FAM-RES,5980.0,42.372863866780214,-71.1047270471006,,,,,,,6.0,104,,False,Harvard Square Area
76-121,164 Columbia St,THREE-FM-RES,5340.0,42.36723768676816,-71.09732018925772,,,,,,,4.0,105,,False,Harvard Square Area
102-73,211-221 Hamilton St,4-8-UNIT-APT,8094.0,42.360389600827574,-71.10926485211336,,,,,,,5.0,111,,True,Central Square Area
121-128,620 Green St,SNGL-FAM-RES,1872.0,42.36856622770741,-71.11187126952619,,,,,,,7.0,101,,False,Harvard Square Area
123-62,57-61 Kinnaird St,THREE-FM-RES,5185.0,42.366364040800626,-71.10990308020575,,,,,,,7.0,105,,True,Central Square Area
91-185,66 Bishop Allen Dr,4-8-UNIT-APT,2538.0,42.36492903430014,-71.10113054644991,,,,,,,4.0,111,,False,Central Square Area
115-73,30 Chatham St,THREE-FM-RES,4050.0,42.37116707081501,-71.10860110078676,,,,,,,6.0,105,,True,Harvard Square Area
140-51,14 Leonard Ave,TWO-FAM-RES,3641.0,42.37565566218958,-71.10580871289588,,,,,,,6.0,104,,True,Porter Square Area
94-223,14 Watson St,SNGL-FAM-RES,2625.0,42.3618525898043,-71.10462611575454,,,,,,,5.0,101,,False,Central Square Area
174-84,1 Bowdoin St,SNGL-FAM-RES,3375.0,42.38221259576315,-71.12043279084854,,,,,,,9.0,101,,False,Porter Square Area
210-63,85 Washington Ave,SNGL-FAM-RES,2908.0,42.38627299304665,-71.12393638734764,,,,,,,9.0,101,,False,Porter Square Area
176-19,15 Lancaster St,THREE-FM-RES,5159.0,42.38583345980394,-71.12054720098126,,,,,,,9.0,105,,True,Porter Square Area
94-115,29 Speridakis Ter,THREE-FM-RES,2660.0,42.360100344551306,-71.10627226521895,,,,,,,5.0,105,,True,Central Square Area
121-59,538 Franklin St,THREE-FM-RES,4396.0,42.36777368190316,-71.11173069158068,,,,,,,7.0,105,,False,Harvard Square Area
122-135,91 Kinnaird St,TWO-FAM-RES,3178.0,42.36715839534036,-71.11172310191164,,,,,,,7.0,104,,False,Harvard Square Area
180-34,162 Elm St N,THREE-FM-RES,5731.0,42.39177012444888,-71.11973240044894,,,,,,,11.0,105,,False,Porter Square Area
103-62,2 Cottage Ct,SNGL-FAM-RES,956.0,42.3621831752042,-71.1057309306899,,,,,,,5.0,101,,False,Central Square Area
108-55,7 Broadway Ter,THREE-FM-RES,3320.0,42.37032934704151,-71.1046035711139,,,,,,,6.0,105,,True,Harvard Square Area
